taxon,Invasion,Meand13C,SDd13C,Meand15N,SDd15N,n
Bull trout,Late,-25.7825,1.954290152,9.55375,0.765561185,8
Bull trout,Mid,-26.62090909,2.734152353,9.196363636,1.417111659,11
Other fish,Late,-26.13893333,2.517305512,6.845933333,1.041386593,150
Other fish,Mid,-27.804375,3.285756762,7.6621875,1.464700582,96
