Lake,year,LKT,BLT
Logging,1969,0,61
Logging,1977,0,6
Logging,2000,12,7
Logging,2005,25,7
McDonald,1969,8,38
McDonald,1977,8,10
McDonald,2000,24,7
McDonald,2005,33,8
McDonald,2010,33,6
McDonald,2015,15,8
McDonald,2019,35,8
Bowman,1969,0,97
Bowman,1977,0,41
Bowman,2000,57,10
Bowman,2005,52,17
Bowman,2010,64,5
Bowman,2015,41,6
Bowman,2019,67,7
Kintla,1969,3,54
Kintla,1977,18,12
Kintla,2000,45,2
Kintla,2005,34,12
Kintla,2010,32,3
Kintla,2015,53,4
Kintla,2019,44,1
